UniprotID	ProteinName	OriginalID	ExperimentID	UniProt	Database	Ratio	Change	originalName	GeneName	Organism	StudyID	Method	Detergent	Details	Method1	Quantitation	MassSpec	Software	TissueID	Stimulous	Agent	ExpShort	Authors	Year	PubmedID	StudyDetails
O75348	V-type proton ATPase subunit G 1	O75348	exp118	Yes	UniprotKB	NA	NA	V-type proton ATPase subunit G 1	ATP6V1G1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
O75380	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial	O75380	exp118	Yes	UniprotKB	NA	NA	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial	NDUFS6	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
O75477	Erlin-1	O75477	exp118	Yes	UniprotKB	NA	NA	Erlin-1	ERLIN1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
O75489	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	O75489	exp118	Yes	UniprotKB	NA	NA	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	NDUFS3	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
O75531	Barrier-to-autointegration factor	O75531	exp118	Yes	UniprotKB	NA	NA	Barrier-to-autointegration factor	BANF1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
O75695	Protein XRP2	O75695	exp118	Yes	UniprotKB	NA	NA	Protein XRP2	RP2	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
O75822	Eukaryotic translation initiation factor 3 subunit J	O75822	exp118	Yes	UniprotKB	NA	NA	Eukaryotic translation initiation factor 3 subunit J	EIF3J	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
O75947	ATP synthase subunit d, mitochondrial	O75947	exp118	Yes	UniprotKB	NA	NA	ATP synthase subunit d, mitochondrial	ATP5H	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
O75964	ATP synthase subunit g, mitochondrial	O75964	exp118	Yes	UniprotKB	NA	NA	ATP synthase subunit g, mitochondrial	ATP5L	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
O94832	Myosin-Id	O94832	exp118	Yes	UniprotKB	NA	NA	Myosin-Id	MYO1D	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
O94905	Erlin-2	O94905	exp118	Yes	UniprotKB	NA	NA	Erlin-2	ERLIN2	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
O95139	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6	O95139	exp118	Yes	UniprotKB	NA	NA	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6	NDUFB6	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
O95168	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	O95168	exp118	Yes	UniprotKB	NA	NA	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	NDUFB4	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
O95298	NADH dehydrogenase [ubiquinone] 1 subunit C2	O95298	exp118	Yes	UniprotKB	NA	NA	NADH dehydrogenase [ubiquinone] 1 subunit C2	NDUFC2	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
O96000	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	O96000	exp118	Yes	UniprotKB	NA	NA	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	NDUFB10	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
O96008	Mitochondrial import receptor subunit TOM40 homolog	O96008	exp118	Yes	UniprotKB	NA	NA	Mitochondrial import receptor subunit TOM40 homolog	TOMM40	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P00387	NADH-cytochrome b5 reductase 3	P00387	exp118	Yes	UniprotKB	NA	NA	NADH-cytochrome b5 reductase 3	CYB5R3	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P00813	Adenosine deaminase	P00813	exp118	Yes	UniprotKB	NA	NA	Adenosine deaminase	ADA	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P01903	HLA class II histocompatibility antigen, DR alpha chain	P01903	exp118	Yes	UniprotKB	NA	NA	HLA class II histocompatibility antigen, DR alpha chain	HLA-DRA	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P01911	HLA class II histocompatibility antigen, DRB1-15 beta chain	P01911	exp118	Yes	UniprotKB	NA	NA	HLA class II histocompatibility antigen, DRB1-15 beta chain	HLA-DRB5	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P02538	Keratin, type II cytoskeletal 6A	P02538	exp118	Yes	UniprotKB	NA	NA	Keratin, type II cytoskeletal 6A	KRT6A	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P04075	Fructose-bisphosphate aldolase A	P04075	exp118	Yes	UniprotKB	NA	NA	Fructose-bisphosphate aldolase A	ALDOA	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P04233	HLA class II histocompatibility antigen gamma chain	P04233	exp118	Yes	UniprotKB	NA	NA	HLA class II histocompatibility antigen gamma chain	CD74	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P04264	Keratin, type II cytoskeletal 1	P04264	exp118	Yes	UniprotKB	NA	NA	Keratin, type II cytoskeletal 1	KRT1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P04406	Glyceraldehyde-3-phosphate dehydrogenase	P04406	exp118	Yes	UniprotKB	NA	NA	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P05387	60S acidic ribosomal protein P2	P05387	exp118	Yes	UniprotKB	NA	NA	60S acidic ribosomal protein P2	RPLP2	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P06313	Ig kappa chain V-IV region JI	P06313	exp118	Yes	UniprotKB	NA	NA	Ig kappa chain V-IV region JI	NA	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P06314	Ig kappa chain V-IV region B17	P06314	exp118	Yes	UniprotKB	NA	NA	Ig kappa chain V-IV region B17	NA	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P06576	ATP synthase subunit beta, mitochondrial	P06576	exp118	Yes	UniprotKB	NA	NA	ATP synthase subunit beta, mitochondrial	ATP5B	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P06733	Alpha-enolase	P06733	exp118	Yes	UniprotKB	NA	NA	Alpha-enolase	ENO1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P06734	Low affinity immunoglobulin epsilon Fc receptor	P06734	exp118	Yes	UniprotKB	NA	NA	Low affinity immunoglobulin epsilon Fc receptor	FCER2	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B5BU00	Nucleophosmin	B5BU00	exp118	Yes	UniprotKB	NA	NA	Nucleophosmin	NPM1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P07195	L-lactate dehydrogenase B chain	P07195	exp118	Yes	UniprotKB	NA	NA	L-lactate dehydrogenase B chain	LDHB	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P07237	Protein disulfide-isomerase	P07237	exp118	Yes	UniprotKB	NA	NA	Protein disulfide-isomerase	P4HB	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
Q8TBV2	Annexin A2	Q8TBV2	exp118	Yes	UniprotKB	NA	NA	Annexin A2	ANXA2	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P07477	Trypsin-1	P07477	exp118	Yes	UniprotKB	NA	NA	Trypsin-1	PRSS1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P07737	Profilin-1	P07737	exp118	Yes	UniprotKB	NA	NA	Profilin-1	PFN1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P07900	Heat shock protein HSP 90-alpha	P07900	exp118	Yes	UniprotKB	NA	NA	Heat shock protein HSP 90-alpha	HSP90AA1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P07910	Heterogeneous nuclear ribonucleoproteins C1/C2	P07910	exp118	Yes	UniprotKB	NA	NA	Heterogeneous nuclear ribonucleoproteins C1/C2	HNRNPC	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P07948	Tyrosine-protein kinase Lyn	P07948	exp118	Yes	UniprotKB	NA	NA	Tyrosine-protein kinase Lyn	LYN	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P08133	Annexin A6	P08133	exp118	Yes	UniprotKB	NA	NA	Annexin A6	ANXA6	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P08238	Heat shock protein HSP 90-beta	P08238	exp118	Yes	UniprotKB	NA	NA	Heat shock protein HSP 90-beta	HSP90AB1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P08574	Cytochrome c1, heme protein, mitochondrial	P08574	exp118	Yes	UniprotKB	NA	NA	Cytochrome c1, heme protein, mitochondrial	CYC1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P08582	Melanotransferrin	P08582	exp118	Yes	UniprotKB	NA	NA	Melanotransferrin	MFI2	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P08670	Vimentin	P08670	exp118	Yes	UniprotKB	NA	NA	Vimentin	VIM	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P08754	Guanine nucleotide-binding protein G(k) subunit alpha	P08754	exp118	Yes	UniprotKB	NA	NA	Guanine nucleotide-binding protein G(k) subunit alpha	GNAI3	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P08865	40S ribosomal protein SA	P08865	exp118	Yes	UniprotKB	NA	NA	40S ribosomal protein SA	RPSA	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P09211	Glutathione S-transferase P	P09211	exp118	Yes	UniprotKB	NA	NA	Glutathione S-transferase P	GSTP1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P09382	Galectin-1	P09382	exp118	Yes	UniprotKB	NA	NA	Galectin-1	LGALS1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
P09651	Heterogeneous nuclear ribonucleoprotein A1	P09651	exp118	Yes	UniprotKB	NA	NA	Heterogeneous nuclear ribonucleoprotein A1	HNRNPA1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
