Experiment ID	Author	Year	Pubmed Link	Publication Title	Cell or tissue type	Organism	Biochemical method of raft extraction	Detergent	Experiment Descrition	Quantitative method	Treatment
exp089	Zheng et al. 	2011	http://www.ncbi.nlm.nih.gov/pubmed/21753190	Differential impact of caveolae and caveolin-1 scaffolds on the membrane raft proteome	MEF	Mouse	DRM	Triton X-100	Proteomic characterization of lipid rafts from Mgat5+/+ and Mgat5-/-ESC MEF cells	SILAC	NA
exp090	Zheng et al. 	2011	http://www.ncbi.nlm.nih.gov/pubmed/21753190	Differential impact of caveolae and caveolin-1 scaffolds on the membrane raft proteome	MEF	Mouse	DRM	Triton X-100	Proteomic characterization of lipid rafts from Mgats5-/-ESC and Mgat5-/- MEF cells	SILAC	NA
exp091	Zheng et al. 	2011	http://www.ncbi.nlm.nih.gov/pubmed/21753190	Differential impact of caveolae and caveolin-1 scaffolds on the membrane raft proteome	MEF	Mouse	DRM	Triton X-100	Proteomic characterization of lipid rafts from control and Mgat5+/+ MEF cells using quantitative co-immunoprecipitation	SILAC	NA
exp092	Zheng et al. 	2011	http://www.ncbi.nlm.nih.gov/pubmed/21753190	Differential impact of caveolae and caveolin-1 scaffolds on the membrane raft proteome	MEF	Mouse	DRM	Triton X-100	Proteomic characterization of lipid rafts from methyl-beta-cyclodextrin treated Mgat5+/+ MEF cells	SILAC	Methyl-beta-cyclodextrin
exp093	Zheng et al. 	2011	http://www.ncbi.nlm.nih.gov/pubmed/21753190	Differential impact of caveolae and caveolin-1 scaffolds on the membrane raft proteome	MEF	Mouse	DRM	Triton X-100	Proteomic characterization of lipid rafts from WT and Cav-1  knockout MEF cells	Lable Free	NA
exp094	Caruso et al. 	2011	http://www.ncbi.nlm.nih.gov/pubmed/21533873	Proteomic profiling of lipid rafts in a human breast cancer model of tumorigenic progression	MCF10A; MCF10AT; MCF10ATG3B; MCF10CA1a	Human	DRM	Triton X-100	Proteomic characterization of lipid rafts in a human breast cancer model of tumorigenic progression	iTRAQ	NA
exp095	Poston et al. 	2011	http://www.ncbi.nlm.nih.gov/pubmed/22037461	Proteomic analysis of lipid raft-enriched membranes isolated from internal organelles	NG108-15	Mouse	DRM	Triton X-114	Proteomic analysis of lipid raft-enriched membranes isolated from internal organelles	Qualitative	NA
exp096	Goyette et al. 	2011	http://www.ncbi.nlm.nih.gov/pubmed/22915823	Proteomic characterization of phagosomal membrane microdomains during phagolysosome biogenesis and evolution	J774	Mouse	DRM	Triton X-100	Proteomic characterization of lipid raft fractions at different stages of phagosome maturation	Lable Free	NA
exp097	Raimondo et al. 	2011	http://www.ncbi.nlm.nih.gov/pubmed/22159573	Protein profiling of microdomains purified from renal cell carcinoma and normal kidney tissue samples	Kidney	Human	DRM	Triton X-100	Proteomic characterization of lipid rafts from normal kidney tissue sample adjacent renal cell carcinoma tissue	Qualitative	NA
exp098	Raimondo et al. 	2011	http://www.ncbi.nlm.nih.gov/pubmed/22159573	Protein profiling of microdomains purified from renal cell carcinoma and normal kidney tissue samples	Renal cell carcinoma cell	Human	DRM	Triton X-100	Proteomic characterization of lipid rafts from renal-cell carcinoma tissue sample	Qualitative	NA
exp099	Nixon et al. 	2011	http://www.ncbi.nlm.nih.gov/pubmed/21792924	Proteomic and functional analysis of human sperm detergent resistant membranes	Sperm cell	Human	DRM	Brij-35	Proteomic characterization of human sperm membrane raft	Qualitative	NA
exp100	Hur et al. 	2012	http://www.ncbi.nlm.nih.gov/pubmed/22315232	Identification of novel gamma-secretase-associated proteins in detergent-resistant membranes from brain	Brain	Rat	DRM	CHAPSO	Proteomic characterization of membrane rafts from rat brain using Folch method	Qualitative	NA
exp101	Hur et al. 	2012	http://www.ncbi.nlm.nih.gov/pubmed/22315232	Identification of novel gamma-secretase-associated proteins in detergent-resistant membranes from brain	Brain	Rat	DRM	CHAPSO	Proteomic characterization of membrane rafts from rat brain protein precipitation method	Qualitative	NA
exp102	Jiang et al. 	2012	http://www.ncbi.nlm.nih.gov/pubmed/22106087	A proteomics approach to the cell-surface interactome using the enzyme-mediated activation of radical sources reaction	HeLa S3	Human	Affinity isolation using cholera toxin B	NA	Proteomic characterization of GM1 interactome from lipid raft	Qualitative	NA
exp103	Arielly et al. 	2012	http://www.ncbi.nlm.nih.gov/pubmed/22484058	Quantitative analysis of caveolin-rich lipid raft proteins from primary and metastatic colorectal cancer clones	SW480; SW620	Human	DRM	Triton X-100	Proteomic characterization of caveolin-rich lipid rafts from human primary and metastatic colorectal cancer cells	Lable Free	NA
exp104	Gu et al. 	2012	http://www.ncbi.nlm.nih.gov/pubmed/22428589	Proteomic analysis of endothelial lipid rafts reveals a novel role of statins in antioxidation	Endothelium	Human	Detergent Free Method	NA	Proteomic characterization of endothelial lipid rafts after 30 min. atorvastatin treatment	iTRAQ	Atorvastatin
exp105	Gu et al. 	2012	http://www.ncbi.nlm.nih.gov/pubmed/22428589	Proteomic analysis of endothelial lipid rafts reveals a novel role of statins in antioxidation	HUVEC	Human	Detergent Free Method	NA	Proteomic characterization of endothelial lipid rafts 2 hour atorvastatin treatment	iTRAQ	Atorvastatin
exp106	Xie et al. 	2012	http://www.ncbi.nlm.nih.gov/pubmed/21982977	Comprehensive proteomic analysis of host cell lipid rafts modified by HBV infection	HepG2; HepG2.15	Human	DRM	Triton X-100	Proteomic analysis of host cell lipid rafts modified by HBV infection using 2DE	2DE	NA
exp107	Xie et al. 	2012	http://www.ncbi.nlm.nih.gov/pubmed/21982977	Comprehensive proteomic analysis of host cell lipid rafts modified by HBV infection	HepG2; HepG2.16	Human	DRM	Triton X-100	Proteomic analysis of host cell lipid rafts modified by HBV infection using SILAC	SILAC	NA
exp108	Kim et al. 	2012	http://www.ncbi.nlm.nih.gov/pubmed/22808268	Proteomic identification of ADAM12 as a regulator for TGF-beta1-induced differentiation of human mesenchymal stem cells to smooth muscle cells	Adipose tissue derived mesenchymal stem cell	Human	DRM	Triton X-100	Proteomic characterization of lipid rafts of TGF-beta1-induced differentiation of human mesenchymal stem cells to smooth muscle cells	Lable Free	TGF-beta1
exp109	Seyfried et al.	2012	http://www.ncbi.nlm.nih.gov/pubmed/22416763	Quantitative analysis of the detergent-insoluble brain proteome in frontotemporal lobar degeneration using SILAC internal standards	Brain	Human	DRM	Triton X-100	Proteomic characterization of control and FTLD insoluble brain lipid rafts	SILAC	NA
exp110	Seyfried et al.	2012	http://www.ncbi.nlm.nih.gov/pubmed/22416763	Quantitative analysis of the detergent-insoluble brain proteome in frontotemporal lobar degeneration using SILAC internal standards	Brain	Human	DRM	Triton X-100	Quantitative proteomic approach to assess relative changes in the frontotemporal lobar degeneration detergent-insoluble proteome extract  from post-mortem human brain	Lable Free	NA
exp111	Thome et al.	2012	http://www.ncbi.nlm.nih.gov/pubmed/23001822	Linker for activation of T-cell family member2 (LAT2) a lipid raft adaptor protein for AKT signaling, is an early mediator of alkylphospholipid anti-leukemic activity	NB4	Human	DRM	Triton X-100	Quantitative proteomic screening of ODPC targets in a lipid raft-enriched fraction of leukemic cells	SILAC	ODPC
exp112	Boscher et al.	2012	http://www.ncbi.nlm.nih.gov/pubmed/22846995	Galectin-3 protein regulates mobility of N-cadherin and GM1 ganglioside at cell-cell junctions of mammary carcinoma cells	MEF	Mouse	DRM	Triton X-100	Proteomic characterization of lipid rafts from control and lactose treated Mgat5+/+ MEF cells	SILAC	NA
exp113	Boscher et al.	2012	http://www.ncbi.nlm.nih.gov/pubmed/22846995	Galectin-3 protein regulates mobility of N-cadherin and GM1 ganglioside at cell-cell junctions of mammary carcinoma cells	MEF	Mouse	DRM	Triton X-100	Proteomic characterization of lipid rafts from lactose and sucrose treated Mgat5+/+ MEF cells	SILAC	NA
exp114	Chilla et al. 	2013	http://www.ncbi.nlm.nih.gov/pubmed/23572564	Proteomic identification of VEGF-dependent protein enrichment to membrane caveolar-raft microdomains in endothelial progenitor cells	Endothelial progenitor cell	Human	DRM	Triton X-100	Proteomic characterization of VEGF-dependent protein enrichment to membrane caveolar-raft microdomains in endothelial progenitor cells	2DE	VEGF 
exp115	Uyy et al.	2013	http://www.ncbi.nlm.nih.gov/pubmed/23996201	High-fat diet alters protein composition of detergent-resistant membrane microdomains	Lung	Mouse	DRM	Triton X-100	DRM isolated from ApoE/ mice exposed to a standard or hyperlipidemic diet with and without fluvastatin treatment versus control C57 Black mice	Lable Free	NA
exp116	Moltu et al.	2013	http://omicsonline.org/a-proteomic-approach-to-screening-of-dynamic-changes-in-detergent-resistant-membranes-from-activated-human-primary-t-cells-jpb.1000264.php?aid=12317	A proteomic approach to screening of dynamic changes in detergent-resistant membranes from activated human primary T cells	T-cell	Human	DRM	Triton X-100	Proteomic characterization of lipid rafts isolated from resting and activated T-cells	Qualitative	NA
exp117	Yi et al.	2013	http://www.ncbi.nlm.nih.gov/pubmed/23214712	PTRF/Cavin-1 is essential for multidrug resistance in cancer cells	MCF-7; MCF-7/ADR (Adriamycin-resistant)	Human	DRM	Triton X-100	Lipid raft proteome changes in multidrug-resistant breast cancer cells	Lable Free	NA
