Accession	Gene_name	Protein_name
P62814	Atp6v1b2;Atp6b2;Vat2	V-type proton ATPase subunit B, brain isoform
P62815	Atp6v1b2;Atp6b2;Vat2	V-type proton ATPase subunit B, brain isoform
P62824	Rab3c	Ras-related protein Rab-3C
P62829	RPL23	60S ribosomal protein L23
P62835	Rap1a;Krev-1	Ras-related protein Rap-1A
P62836	Rap1a;Krev1	Ras-related protein Rap-1A
P62880	Gnb2	Guanine nucleotide-binding protein G
P62882	Gnb5	Guanine nucleotide-binding protein subunit beta-5
P62900	Rpl31	60S ribosomal protein L31
P62908	Rps3	40S ribosomal protein S3
P62909	Rps3	40S ribosomal protein S3
P62914	Rpl11	60S ribosomal protein L11
P62918	Rpl8	60S ribosomal protein L8
P62944	Ap2b1;Clapb1	AP-2 complex subunit beta
P63000	RAC1;TC25;MIG5	Ras-related C3 botulinum toxin substrate 1
P63001	Rac1	Ras-related C3 botulinum toxin substrate 1
P63004	Pafah1b1;Lis-1;Lis1;Pafaha	Platelet-activating factor acetylhydrolase IB subunit alpha
P63011	Rab3a	Ras-related protein Rab-3A
P63012	Rab3a	Ras-related protein Rab-3A
P63017	Hspa8;Hsc70;Hsc73	Heat shock cognate 71 kDa protein
P63018	Hspa8;Hsc70;Hsc73	Heat shock cognate 71 kDa protein
P63025	Vamp3;Syb3	Vesicle-associated membrane protein 3
P63029	Tpt1;Trt	Translationally-controlled tumor protein
P63038	Hspd1;Hsp60	60 kDa heat shock protein, mitochondrial
P63039	Hspd1;Hsp60	60 kDa heat shock protein, mitochondrial
P63044	Vamp2;Syb2	Vesicle-associated membrane protein 2
P63045	Vamp2;Syb2	Vesicle-associated membrane protein 2
P63079	Gabrb3;Gabrb-3	Gamma-aminobutyric acid receptor subunit beta-3
P63081	Atp6v0c;Atp6c;Atp6l;Atpl	V-type proton ATPase 16 kDa proteolipid subunit
P63088	Ppp1cc	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit
P63095	Gnas;Gnas1	Guanine nucleotide-binding protein G
P63101	Ywhaz	14-3-3 protein zeta/delta
P63102	Ywhaz;Msfs1	14-3-3 protein zeta/delta
P63170	Dynll1;Dncl1;Dnclc1;Pin	Dynein light chain 1, cytoplasmic
P63213	Gng2	Guanine nucleotide-binding protein G
P63259	Actg1;Actg	Actin, cytoplasmic 2
P63276	Rps17	40S ribosomal protein S17
P63319	Prkcg;Pkcc;Pkcg;Prkcc	Protein kinase C gamma type
P63321	Rala;Ral;Ral-a	Ras-related protein Ral-A
P63322	Rala;Ral;Ral-a	Ras-related protein Ral-A
P63328	Ppp3ca;Calna	Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform
P63329	Ppp3ca;Calna	Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform
P67779	Phb	Prohibitin
P68035	Actc1;Actc	Actin, alpha cardiac muscle 1
P68181	Prkacb;Pkacb	cAMP-dependent protein kinase catalytic subunit beta
P68254	Ywhaq	14-3-3 protein theta
P68255	Ywhaq	14-3-3 protein theta
P68370	Tuba1a;Tuba1	Tubulin alpha-1A chain
P68372	Tubb4b;Tubb2c	Tubulin beta-4B chain
P68511	Ywhah	14-3-3 protein eta
P69897	Tubb5	Tubulin beta-5 chain
P70168	Kpnb1;Impnb	Importin subunit beta-1
P70296	Pebp1;Pbp;Pebp	Phosphatidylethanolamine-binding protein 1
P70490	Mfge8;Ags	Lactadherin
P70500	Cdipt;Pis1	CDP-diacylglycerol--inositol 3-phosphatidyltransferase
P70566	Tmod2;Ntmod	Tropomodulin-2
P70580	Pgrmc1;25dx;Lewi;Pgrmc	Membrane-associated progesterone receptor component 1
P70587	Lrrc7;Lap1	Leucine-rich repeat-containing protein 7
P70704	Atp8a1;Atpc1	Phospholipid-transporting ATPase IA
P80313	Cct7;Ccth	T-complex protein 1 subunit eta
P80317	Cct6a;Cct6;Cctz;Cctz1	T-complex protein 1 subunit zeta
P80318	Cct3;Cctg	T-complex protein 1 subunit gamma
P81155	Vdac2	Voltage-dependent anion-selective channel protein 2
P81605	DCD;AIDD;DSEP	Dermcidin
P82471	Gnaq	Guanine nucleotide-binding protein G
P82995	Hsp90aa1;Hsp86;Hspca	Heat shock protein HSP 90-alpha
P84076	Hpca	Neuron-specific calcium-binding protein hippocalcin
P84082	Arf2	ADP-ribosylation factor 2
P84091	Ap2m1;Clapm1	AP-2 complex subunit mu
P84092	Ap2m1	AP-2 complex subunit mu
P84245	H3f3b;H3.3b	Histone H3.3
P84903	Stim1;Sim	Stromal interaction molecule 1
P85007	Ier3ip1	Immediate early response 3-interacting protein 1
P85108	Tubb2a	Tubulin beta-2A chain
P85171	Mdga1	MAM domain-containing glycosylphosphatidylinositol anchor protein 1
P85515	Actr1a;Ctrn1	Alpha-centractin
P97521	Slc25a20;Cact	Mitochondrial carnitine/acylcarnitine carrier protein
P97524	Slc27a2;Acsvl1;Facvl1;Fatp2;Vlacs;Vlcs	Very long-chain acyl-CoA synthetase
P97536	Cand1;Tip120;Tip120a	Cullin-associated NEDD8-dissociated protein 1
P97544	Ppap2b;Lpp3	Lipid phosphate phosphohydrolase 3
P97546	Nptn;Sdfr1;Sdr1	Neuroplastin
P97603	Neo1;Ngn	Neogenin
P97610	Syt12;Srg1;Sytr1	Synaptotagmin-12
P97612	Faah;Faah1	Fatty-acid amide hydrolase 1
P97675	Enpp3;Pdnp3	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3
P97685	Nfasc	Neurofascin
P97686	Nrcam	Neuronal cell adhesion molecule
P97700	Slc25a11;Slc20a4	Mitochondrial 2-oxoglutarate/malate carrier protein
P97710	Sirpa;Bit;Mfr;Ptpns1;Shps1;Sirp	Tyrosine-protein phosphatase non-receptor type substrate 1
P97829	Cd47	Leukocyte surface antigen CD47
P97836	Dlgap1;Gkap	Disks large-associated protein 1
P97839	Dlgap4;Dap4;Sapap4	Disks large-associated protein 4
P97846	Cntnap1;Caspr;Nrxn4	Contactin-associated protein 1
P97887	Psen1;Psnl1	Presenilin-1
Q00715	NA	Histone H2B type 1
Q00960	Grin2b	Glutamate receptor ionotropic, NMDA 2B
Q01062	Pde2a	cGMP-dependent 3',5'-cyclic phosphodiesterase
Q01205	Dlst	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial
Q01728	Slc8a1;Ncx1	Sodium/calcium exchanger 1
Q02053	Uba1;Sbx;Ube1;Ube1ax;Ube1x	Ubiquitin-like modifier-activating enzyme 1
Q02563	Sv2a;Sv2	Synaptic vesicle glycoprotein 2A
Q02769	Fdft1	Squalene synthase
Q03114	Cdk5;Cdkn5	Cyclin-dependent kinase 5
Q03265	Atp5a1	ATP synthase subunit alpha, mitochondrial
Q04970	Nras	GTPase NRas
Q05096	Myo1b;Myo1a;Myr1	Unconventional myosin-Ib
Q05140	Snap91	Clathrin coat assembly protein AP180
Q05175	Basp1;Nap22	Brain acid soluble protein 1
Q05546	Tnr	Tenascin-R
Q05683	Gad2;Gad65	Glutamate decarboxylase 2
Q05695	L1cam;Caml1	Neural cell adhesion molecule L1
Q05759	Prkacb	CAMP-dependent protein kinase catalytic subunit
Q05962	Slc25a4;Ant1	ADP/ATP translocase 1
Q05982	Nme1	Nucleoside diphosphate kinase A
Q06647	Atp5o	ATP synthase subunit O, mitochondrial
Q07066	Pxmp2;Pmp22	Peroxisomal membrane protein 2
Q07266	Dbn1	Drebrin
Q07310	Nrxn3	Neurexin-3
Q07439	Hspa1a;Hsp70-1;Hspa1;Hspa1b;Hsp70-2;Hspa2	Heat shock 70 kDa protein 1A/1B
Q07647	Slc2a3;Glut-3;Glut3	Solute carrier family 2, facilitated glucose transporter member 3
Q07984	Ssr4	Translocon-associated protein subunit delta
Q08163	Cap1;Cap;Mch1	Adenylyl cyclase-associated protein 1
Q08201	Abcb4;Mdr2;Pgp3;Pgy2	Multidrug resistance protein 3
Q08406	Cntfr	Ciliary neurotrophic factor receptor subunit alpha
Q09073	Slc25a5;Ant2	ADP/ATP translocase 2
Q0VGK4	Gdpd1	Glycerophosphodiester phosphodiesterase domain-containing protein 1
Q15109	AGER;RAGE	Advanced glycosylation end product-specific receptor
Q15283	RASA2;GAP1M;RASGAP	Ras GTPase-activating protein 2
Q15286	RAB35;RAB1C;RAY	Ras-related protein Rab-35
Q1H5H1	Selt	Selenoprotein T
Q1WIM1	Cadm4;Igsf4c;Necl4	Cell adhesion molecule 4
Q1WIM3	Cadm3;Igsf4b;Necl1	Cell adhesion molecule 3
Q2TA68	Opa1	Dynamin-like 120 kDa protein, mitochondrial
Q3KRE0	Atad3;Atad3a	ATPase family AAA domain-containing protein 3
Q3KRE8	Tubb2b;Tubb2a	Tubulin beta-2B chain
Q3T1K5	Capza2	F-actin-capping protein subunit alpha-2
Q3UHD9	Agap2;Centg1;Kiaa0167	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2
Q3UHL1	Camkv	CaM kinase-like vesicle-associated protein
Q4FZT0	Stoml2	Stomatin-like protein 2, mitochondrial
Q4FZT9	Psmd2	26S proteasome non-ATPase regulatory subunit 2
Q4KLL4	Tm9sf4	Transmembrane 9 superfamily member 4
Q4KM74	Sec22b;Sec22l1	Vesicle-trafficking protein SEC22b
Q4QRB4	Tubb3	Tubulin beta-3 chain
Q4V897	Ccdc90b	Coiled-coil domain-containing protein 90B, mitochondrial
Q4V8C2	Zw10	Centromere/kinetochore protein zw10 homolog
Q4V8I7	Lrrc8a;Lrrc8	Volume-regulated anion channel subunit LRRC8A
Q505J9	Atad1;Npg6	ATPase family AAA domain-containing protein 1
Q561S0	Ndufa10	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial
Q568Z4	Spcs3	Signal peptidase complex subunit 3
Q569C0	Tmem100	Transmembrane protein 100
Q5BJU5	Cnih2	Protein cornichon homolog 2
Q5BK63	Ndufa9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial
Q5DQR4	Stxbp5l;Llgl4	Syntaxin-binding protein 5-like
Q5EB77	Rab18	Ras-related protein Rab-18
Q5EB81	Cyb5r1	NADH-cytochrome b5 reductase 1
Q5FVI4	Cend1	Cell cycle exit and neuronal differentiation protein 1
Q5FVI6	Atp6v1c1	V-type proton ATPase subunit C 1
Q5FVN0	Lpcat3;Grcc3f;Mboat5;Oact5	Lysophospholipid acyltransferase 5
Q5HZA9	Tmem126a	Transmembrane protein 126A
Q5HZE0	Slc25a29;Ornt3	Mitochondrial basic amino acids transporter
Q5I0E7	Tmed9	Transmembrane emp24 domain-containing protein 9
Q5I0H4	Tmco1	Transmembrane and coiled-coil domains protein 1
Q5M7T4	Yipf4	Protein YIPF4
Q5M7U6	Actr2;Arp2	Actin-related protein 2
Q5M875	Hsd17b13;Scdr9	17-beta-hydroxysteroid dehydrogenase 13
Q5M9I5	Uqcrh	Cytochrome b-c1 complex subunit 6, mitochondrial
Q5PPL3	Nsdhl	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating
Q5PPM8	Tmem55b	Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase
Q5PPN7	Ccdc51	Coiled-coil domain-containing protein 51
Q5RJR8	Lrrc59;Rbp34	Leucine-rich repeat-containing protein 59
Q5RJY4	Dhrs7b	Dehydrogenase/reductase SDR family member 7B
Q5RKI1	Eif4a2	Eukaryotic initiation factor 4A-II
Q5RKI5	Flii;Fliih;rCG_32758	Flightless I homolog
Q5RKI8	Abcb8	ATP-binding cassette sub-family B member 8, mitochondrial
Q5SGE0	Lrpprc;Lrp157	Leucine-rich PPR motif-containing protein, mitochondrial
Q5SQX6	Cyfip2;Kiaa1168;Pir121	Cytoplasmic FMR1-interacting protein 2
Q5SUA5	Myo1g	Unconventional myosin-Ig
Q5U2R5	Ppp1r3c;Ppp1r5	Protein phosphatase 1 regulatory subunit 3C
Q5U2X6	Ccdc47	Coiled-coil domain-containing protein 47
Q5U308	Lrrc8d;Lrrc5	Volume-regulated anion channel subunit LRRC8D
Q5U316	Rab35	Ras-related protein Rab-35
Q5XI31	Pigs	GPI transamidase component PIG-S
Q5XI32	Capzb	F-actin-capping protein subunit beta
Q5XI78	Ogdh;Ogdhl	2-oxoglutarate dehydrogenase, mitochondrial
Q5XIC2	Ecsit	Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial
Q5XIF3	Ndufs4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial
Q5XIF6	Tuba4a;Tuba4	Tubulin alpha-4A chain
Q5XIG4	Ociad1	OCIA domain-containing protein 1
Q5XIH3	Ndufv1;rCG_47623	NADH dehydrogenase
Q5XIH7	Phb2;Bcap37	Prohibitin-2
Q5XIM9	Cct2;Cctb	T-complex protein 1 subunit beta
Q5XIN6	Letm1	LETM1 and EF-hand domain-containing protein 1, mitochondrial
Q5XIP9	Tmem43	Transmembrane protein 43
Q5XIU9	Pgrmc2	Membrane-associated progesterone receptor component 2
Q60587	Hadhb	Trifunctional enzyme subunit beta, mitochondrial
Q60668	Hnrnpd;Auf1;Hnrpd	Heterogeneous nuclear ribonucleoprotein D0
Q60864	Stip1	Stress-induced-phosphoprotein 1
Q61316	Hspa4;Apg2;Hsp110	Heat shock 70 kDa protein 4
Q61753	Phgdh	D-3-phosphoglycerate dehydrogenase
Q61879	Myh10	Myosin-10
Q62261	Sptbn1;Elf;Spnb-2;Spnb2;Sptb2	Spectrin beta chain, non-erythrocytic 1
Q62420	Sh3gl2;Sh3d2a	Endophilin-A1
Q62609	Olfm1;D2Sut1e;Noe1;Noel;Noel1	Noelin
Q62634	Slc17a7;Bnpi;Vglut1	Vesicular glutamate transporter 1
Q62636	Rap1b	Ras-related protein Rap-1b
Q62638	Glg1;Esl1;Mg160	Golgi apparatus protein 1
Q62656	Ptprz1;Ptprz;Ptpz	Receptor-type tyrosine-protein phosphatase zeta
Q62718	Ntm;Hnt;Nt	Neurotrimin
Q62720	Slc30a1;Znt1	Zinc transporter 1
Q62745	Cd81;Tapa1	CD81 antigen
Q62760	Tomm20	Mitochondrial import receptor subunit TOM20 homolog
Q62765	Nlgn1	Neuroligin-1
Q62768	Unc13a;Unc13h1	Protein unc-13 homolog A
Q62813	Lsamp;Lamp	Limbic system-associated membrane protein
Q62844	Fyn	Tyrosine-protein kinase Fyn
Q62845	Cntn4	Contactin-4
Q62871	Dync1i2;Dnci2;Dncic2	Cytoplasmic dynein 1 intermediate chain 2
Q62876	Syngr1	Synaptogyrin-1
Q62889	Nlgn3	Neuroligin-3
Q62902	Lman1;Ergic53	Protein ERGIC-53
Q62910	Synj1	Synaptojanin-1
Q62915	Cask	Peripheral plasma membrane protein CASK
Q62936	Dlg3;Dlgh3	Disks large homolog 3
Q62950	Crmp1;Dpysl1	Dihydropyrimidinase-related protein 1
Q62952	Dpysl3;Crmp4	Dihydropyrimidinase-related protein 3
Q62991	Scfd1;Ra410;Sly1;Stxbp1l2	Sec1 family domain-containing protein 1
Q63016	Slc7a5;Mpe16;Ta1	Large neutral amino acids transporter small subunit 1
Q63041	A1m;Pzp	Alpha-1-macroglobulin
Q63053	Arc	Activity-regulated cytoskeleton-associated protein
Q63092	Camkv;1G5	CaM kinase-like vesicle-associated protein
Q63120	Abcc2;Cmoat;Cmrp;Mrp2	Canalicular multispecific organic anion transporter 1
Q63198	Cntn1	Contactin-1
Q63210	Gna12	Guanine nucleotide-binding protein subunit alpha-12
Q63344	Slc16a7;Mct2	Monocarboxylate transporter 2
Q63345	Mog	Myelin-oligodendrocyte glycoprotein
Q63362	Ndufa5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5
Q63372	Nrxn1	Neurexin-1
Q63374	Nrxn2	Neurexin-2
Q63377	Atp1b3	Sodium/potassium-transporting ATPase subunit beta-3
Q63524	Tmed2;Rnp24	Transmembrane emp24 domain-containing protein 2
Q63537	Syn2	Synapsin-2
Q63560	Map6;Mtap6	Microtubule-associated protein 6
Q63564	Sv2b;Sv2bb	Synaptic vesicle glycoprotein 2B
Q63584	Tmed10;Tmp21	Transmembrane emp24 domain-containing protein 10
Q63622	Dlg2;Dlgh2	Disks large homolog 2
Q63633	Slc12a5;Kcc2	Solute carrier family 12 member 5
Q63635	Stx6	Syntaxin-6
Q63666	Vamp1;Syb1	Vesicle-associated membrane protein 1
Q63707	Dhodh	Dihydroorotate dehydrogenase
Q63716	Prdx1;Tdpx2	Peroxiredoxin-1
Q63912	Omg;Omgp	Oligodendrocyte-myelin glycoprotein
Q63942	Rab3d;Rab16	GTP-binding protein Rab-3D
Q63965	Sfxn1	Sideroflexin-1
Q64119	Myl6	Myosin light polypeptide 6
Q641Y8	Ddx1	ATP-dependent RNA helicase DDX1
Q64428	Hadha	Trifunctional enzyme subunit alpha, mitochondrial
Q64433	Hspe1	10 kDa heat shock protein, mitochondrial
Q64542	Atp2b4	Plasma membrane calcium-transporting ATPase 4
Q64548	Rtn1;Nsp	Reticulon-1
Q64550	Ugt1a1;Ugt1	UDP-glucuronosyltransferase 1-1
Q64559	Acot7;Bach	Cytosolic acyl coenzyme A thioester hydrolase
Q64560	Tpp2	Tripeptidyl-peptidase 2
Q64568	Atp2b3;Pmca3	Plasma membrane calcium-transporting ATPase 3
Q64654	Cyp51a1;Cyp51	Lanosterol 14-alpha demethylase
Q66H42	Lypd1;Lypdc1	Ly6/PLAUR domain-containing protein 1
Q66HA6	Arl8b	ADP-ribosylation factor-like protein 8B
Q66HF1	Ndufs1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial
Q66HG9	Mavs;Ips1;Visa	Mitochondrial antiviral-signaling protein
Q68FQ0	Cct5	T-complex protein 1 subunit epsilon
Q68FR6	Eef1g	Elongation factor 1-gamma
Q68FW4	Stx18	Syntaxin-18
Q68FY0	Uqcrc1	Cytochrome b-c1 complex subunit 1, mitochondrial
Q6AXM8	Pon2	Serum paraoxonase/arylesterase 2
Q6AXS4	Atp6ap2;Atp6ip2	Renin receptor
Q6AXT5	Rab21	Ras-related protein Rab-21
Q6AXV4	Samm50	Sorting and assembly machinery component 50 homolog
Q6AXX6	Fam213a;Pamm;Shp1	Redox-regulatory protein FAM213A
Q6AY30	Sccpdh	Saccharopine dehydrogenase-like oxidoreductase
Q6AY41	Tmem30a;Cdc50a	Cell cycle control protein 50A
Q6AY55	Dcakd	Dephospho-CoA kinase domain-containing protein
Q6AY58	Bcap31;rCG_43863	B-cell receptor-associated protein 31
Q6AYH5	Dctn2	Dynactin subunit 2
Q6AYQ1	Golga7	Golgin subfamily A member 7
Q6AYS8	Hsd17b11;Dhrs8	Estradiol 17-beta-dehydrogenase 11
Q6GMN2	Baiap2	Brain-specific angiogenesis inhibitor 1-associated protein 2
Q6GQP4	Rab31	Ras-related protein Rab-31
Q6IFV3	Krt15;Ka15	Keratin, type I cytoskeletal 15
Q6IFW6	Krt10;Ka10	Keratin, type I cytoskeletal 10
Q6IMF3	Krt1;Kb1	Keratin, type II cytoskeletal 1
Q6IRH6	Slc25a3;rCG_49152	Slc25a3 protein
Q6JAM9	Tmem35;Tuf1	Transmembrane protein 35
Q6JE36	Ndrg1;Ndr1	Protein NDRG1
Q6MG82	Prrt1;Ng5	Proline-rich transmembrane protein 1
Q6MGB4	Slc39a7;AA926063;B3galt4;Cdk2ap1-ps1;Col11a2	H2-K region expressed gene 4, rat orthologue
Q6NYB7	Rab1A;Rab1	Ras-related protein Rab-1A
Q6P502	Cct3	T-complex protein 1 subunit gamma
Q6P6Q2	Krt5;Krt2-5	Keratin, type II cytoskeletal 5
Q6P6R2	Dld	Dihydrolipoyl dehydrogenase, mitochondrial
Q6P7R8	Hsd17b12	Estradiol 17-beta-dehydrogenase 12
Q6P9T8	Tubb4b;Tubb2c	Tubulin beta-4B chain
Q6P9V9	Tuba1b;Tuba2	Tubulin alpha-1B chain
Q6PCU2	Atp6v1e1	V-type proton ATPase subunit E 1
Q6PEC3	Yif1b	Protein YIF1B
Q6PEC4	Skp1;Skp1a	S-phase kinase-associated protein 1
Q6Q0N1	Cndp2	Cytosolic non-specific dipeptidase
Q6QLM7	Kif5a	Kinesin heavy chain isoform 5A
Q6RUV5	Rac1	Ras-related C3 botulinum toxin substrate 1
Q6RVG2	Slc4a8;Ndcbe1	Electroneutral sodium bicarbonate exchanger 1
Q6UPE0	Chdh	Choline dehydrogenase, mitochondrial
Q6UPR8	Ermp1;Fxna	Endoplasmic reticulum metallopeptidase 1
Q6VBQ5	Myadm	Myeloid-associated differentiation marker
Q6ZQ18	Efr3b;Kiaa0953	Protein EFR3 homolog B
Q75Q39	Tomm70a	Mitochondrial import receptor subunit TOM70
Q75Q40	Tomm40;Tom40;Tom40a	Mitochondrial import receptor subunit TOM40 homolog
Q765A7	Pgap1	GPI inositol-deacylase
Q76MZ3	Ppp2r1a	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform
Q78P75	Dynll2;Dlc2	Dynein light chain 2, cytoplasmic
Q792I0	Lin7c;Mals3;Veli3	Protein lin-7 homolog C
Q794F9	Slc3a2	4F2 cell-surface antigen heavy chain
Q7TMB7	Lppr4;Prg1	Lipid phosphate phosphatase-related protein type 4
Q7TNR6	Igsf21	Immunoglobulin superfamily member 21
Q7TP47	Syncrip;Hnrpq;Ab2-339	Heterogeneous nuclear ribonucleoprotein Q
Q7TP88	Steap4;LOC499991	Ab1-219
Q7TPA1	Slc25a15	Ab1-114
Q7TPB1	Cct4	T-complex protein 1 subunit delta
Q7TPJ0	Ssr1;Ac2-238	Translocon-associated protein subunit alpha
Q7TPJ1	Igtp	Ac2-233
Q7TPK7	Rab1a;Rab1	Ac2-048
Q7TQ16	Uqcrq;Qpc	Cytochrome b-c1 complex subunit 8
Q7TQD2	Tppp	Tubulin polymerization-promoting protein
Q80V42	Cpm	Carboxypeptidase M
Q80W89	Ndufa11	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11
Q80WD1	Rtn4rl2;Ngrh1	Reticulon-4 receptor-like 2
Q80WF4	Tmem132a;Gbp;Hspa5bp1	Transmembrane protein 132A
Q80WM4	Hapln4;Bral2;Lpr4	Hyaluronan and proteoglycan link protein 4
Q80Z70	Sel1l;Sel1h	Protein sel-1 homolog 1
Q80ZA5	Slc4a10;Ncbe	Sodium-driven chloride bicarbonate exchanger
Q80ZJ1	Rap2a	Ras-related protein Rap-2a
Q811U3	Erc1;Cast2;Elks;Rab6ip2	ELKS/Rab6-interacting/CAST family member 1
Q812E9	Gpm6a;m6a	Neuronal membrane glycoprotein M6-a
Q8BFZ9	Erlin2;Spfh2	Erlin-2
Q8BGN3	Enpp6	Ectonucleotide pyrophosphatase/phosphodiesterase family member 6
Q8BLK3	Lsamp	Limbic system-associated membrane protein
Q8BPN8	Dmxl2;Kiaa0856	DmX-like protein 2
Q8BVE3	Atp6v1h	V-type proton ATPase subunit H
Q8C522	Endod1;Kiaa0830	Endonuclease domain-containing 1 protein
Q8CFD0	Sfxn5	Sideroflexin-5
Q8CFG5	Cacna2d3	Voltage-dependent calcium channel subunit alpha-2/delta-3
Q8CFG6	Cacna2d2	Voltage-dependent calcium channel subunit alpha-2/delta-2
Q8CFN2	Cdc42	Cell division control protein 42 homolog
Q8CFV4	Nrn1;Cpg15	Neuritin
Q8CGL2	Lat2;Lab;Ntal;Wbscr5	Linker for activation of T-cells family member 2
Q8CGU6	Ncstn	Nicastrin
Q8CI94	Pygb	Glycogen phosphorylase, brain form
Q8K0T0	Rtn1;Nsp	Reticulon-1
Q8K0U4	Hspa12a;Kiaa0417	Heat shock 70 kDa protein 12A
Q8K3M6	Erc2;Cast1;Cmbp	ERC protein 2
Q8R366	Igsf8;Ewi2;Kct4;Pgrl	Immunoglobulin superfamily member 8
Q8R4E1	Itfg1;Cda08;Tip	T-cell immunomodulatory protein
Q8R5C5	Actr1b	Beta-centractin
Q8VC69	Slc22a6;Nkt;Oat1	Solute carrier family 22 member 6
Q8VGC3	Cacnb2;Cacnlb2	Voltage-dependent L-type calcium channel subunit beta-2
Q8VHF5	Cs	Citrate synthase, mitochondrial
Q8VHX0	Cacng3	Voltage-dependent calcium channel gamma-3 subunit
Q91XU8	Cds2	Phosphatidate cytidylyltransferase 2
Q91XV6	Fxyd6;Php	FXYD domain-containing ion transport regulator 6
Q91Y81	Sept2;Vesp11	Septin-2
Q91ZN1	Coro1a;Coro1	Coronin-1A
Q920L2	Sdha	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial
Q920Q0	Palm	Paralemmin-1
Q920R6	Atp6v0a4;Atp6n1b	V-type proton ATPase 116 kDa subunit a isoform 4
Q922U2	Krt5;Krt2-5	Keratin, type II cytoskeletal 5
Q924N5	Acsbg1;Grlacs	Long-chain-fatty-acid--CoA ligase ACSBG1
Q924P2	Tmem14c;Cdtw1	Transmembrane protein 14C
Q99104	Myo5a;Dilute	Unconventional myosin-Va
Q99376	Tfrc;Trfr	Transferrin receptor protein 1
Q99623	PHB2;BAP;REA	Prohibitin-2
Q99ML5	Pcyox1;Clp55	Prenylcysteine oxidase
Q99NA5	Idh3a	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial
Q99ND5	ste2	Estrogen sulfotransferase
Q99PJ0	Ntm;Hnt;Nt	Neurotrimin
Q99PT1	Arhgdia;C87222;Gdi1	Rho GDP-dissociation inhibitor 1
Q9CQ22	Lamtor1	Ragulator complex protein LAMTOR1
Q9D2G2	Dlst	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial
Q9D2H9	Dnaaf1;Lrrc50	Dynein assembly factor 1, axonemal
Q9D394	Rufy3;D5Bwg0860e;Ripx	Protein RUFY3
Q9D7N9	Apmap	Adipocyte plasma membrane-associated protein
Q9D8W5	Psmd12	26S proteasome non-ATPase regulatory subunit 12
Q9DAS9	Gng12	Guanine nucleotide-binding protein G subunit gamma-12
Q9DBC7	Prkar1a	cAMP-dependent protein kinase type I-alpha regulatory subunit
Q9DBG3	Ap2b1;Clapb1	AP-2 complex subunit beta
Q9DCX2	Atp5h	ATP synthase subunit d, mitochondrial
Q9EPF2	Mcam;Muc18	Cell surface glycoprotein MUC18
Q9EPH8	Pabpc1;Pabp1	Polyadenylate-binding protein 1
Q9ER34	Aco2	Aconitate hydratase, mitochondrial
Q9ERB4	Vcan;Cspg2	Versican core protein
Q9ERS3	Cacna2d1	Voltage-gated calcium channel alpha2/delta-1 subunit
Q9ES21	Sacm1l	Phosphatidylinositide phosphatase SAC1
Q9ES38	Slc27a5;Acsb;Fatp5;Vlacsr	Bile acyl-CoA synthetase
Q9JHU0	Dpysl5;Ulip6	Dihydropyrimidinase-related protein 5
Q9JHY2	Sfxn3	Sideroflexin-3
Q9JHZ9	Slc38a3;Snat3	Sodium-coupled neutral amino acid transporter 3
Q9JI12	Slc17a6;Dnpi;Vglut2	Vesicular glutamate transporter 2
Q9JI66	Slc4a4;Nbc;Nbc1;Nbce1;Rnbc1	Electrogenic sodium bicarbonate cotransporter 1
Q9JID2	Gna11	Guanine nucleotide-binding protein subunit alpha-11
Q9JIR4	Rims1;Rim1	Regulating synaptic membrane exocytosis protein 1
Q9JJM9	Sept5;Pnutl1	Septin-5
Q9JJW3	Usmg5;Dapit	Up-regulated during skeletal muscle growth protein 5
Q9JK11	Rtn4;Nogo	Reticulon-4
Q9JKE3	Scamp5	Secretory carrier-associated membrane protein 5
Q9JKS6	Pclo	Protein piccolo
Q9JL55	Gde1;Mir16	Glycerophosphodiester phosphodiesterase 1
Q9JLT0	Myh10	Myosin-10
Q9JLU4	Shank3;Prosap2	SH3 and multiple ankyrin repeat domains protein 3
Q9JM76	Arpc3	Actin-related protein 2/3 complex subunit 3
Q9QUH6	Syngap1	Ras/Rap GTPase-activating protein SynGAP
