Accession	Gene_name	Protein_name	Original_ID	Entry_name	Experiment_id
NA	NA	NA	IPI00176854	PREDICTED: similar to 40S ribosomal protein S26	exp049
Q92896	GLG1;CFR1;ESL1;MG160	Golgi apparatus protein 1	IPI00414717	Golgi apparatus protein 1	exp049
NA	NA	NA	IPI00604532	13kDa differentiation-associated protein	exp049
Q92900	UPF1;KIAA0221;RENT1	Regulator of nonsense transcripts 1	IPI00034049	Splice Isoform 1 of Regulator of nonsense transcripts 1	exp049
NA	NA	NA	IPI00410693	Splice Isoform 1 of Plasminogen activator inhibitor 1 RNA-binding protein	exp049
Q969V3	NCLN	Nicalin	IPI00470649	Conserved hypothetical protein	exp049
NA	NA	NA	IPI00166684	Hypothetical protein	exp049
Q96A33	CCDC47;GK001;MSTP041;PSEC0077	Coiled-coil domain-containing protein 47	IPI00024642	Hypothetical protein FLJ14938	exp049
NA	NA	NA	IPI00219150	Splice Isoform 1 of 60S ribosomal protein L11	exp049
Q96AG4	LRRC59;PRO1855	Leucine-rich repeat-containing protein 59	IPI00396321	Hypothetical protein PRO1855	exp049
NA	NA	NA	IPI00027192	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 precursor	exp049
Q96C36	PYCR2	Pyrroline-5-carboxylate reductase 2	IPI00470610	Pyrroline-5-carboxylate reductase 2	exp049
NA	NA	NA	IPI00329606	Sideroflexin 3	exp049
Q96E11	MRRF	Ribosome-recycling factor, mitochondrial	IPI00061108	Splice Isoform 1 of Ribosome recycling factor, mitochondrial precursor	exp049
NA	NA	NA	IPI00451483	Ribosomal protein S27 (Metallopanstimulin 1) (RPS27) pseudogene	exp049
Q96HS1	PGAM5	Serine/threonine-protein phosphatase PGAM5, mitochondrial	IPI00063242	Hypothetical protein MGC5352	exp049
NA	NA	NA	IPI00042578	Similar to heterogeneous nuclear ribonucleoprotein A1 isoform a; nuclear ribonucleoprotein particle	exp049
Q96TA2	YME1L1;FTSH1;YME1L;UNQ1868/PRO4304	ATP-dependent zinc metalloprotease YME1L1	IPI00045946	Splice Isoform 1 of ATP-dependent metalloprotease YME1L1	exp049
NA	NA	NA	IPI00102885	Transmembrane protein	exp049
Q96TC7	RMDN3;FAM82A2;FAM82C;PTPIP51;hucep-10;UNQ3122/PRO10274	Regulator of microtubule dynamics protein 3	IPI00410079	Cerebral protein-10	exp049
NA	NA	NA	IPI00011257	Eukaryotic translation initiation factor 3 subunit 5	exp049
Q99714	HSD17B10;ERAB;HADH2;MRPP2;SCHAD;XH98G2	3-hydroxyacyl-CoA dehydrogenase type-2	IPI00017726	HADH2 protein	exp049
NA	NA	NA	IPI00061231	PEBP family protein	exp049
Q99798	ACO2	Aconitate hydratase, mitochondrial	IPI00017855	Aconitate hydratase, mitochondrial precursor	exp049
NA	NA	NA	IPI00045921	TOB3	exp049
Q99867	NA	Putative tubulin beta-4q chain	IPI00018511	Tubulin beta-4q chain	exp049
NA	NA	NA	IPI00216153	40S ribosomal protein S15	exp049
Q99988	GDF15;MIC1;PDF;PLAB;PTGFB	Growth/differentiation factor 15	IPI00306543	Growth/differentiation factor 15 precursor	exp049
NA	NA	NA	IPI00396980	PREDICTED: similar to ribosomal protein L35	exp049
Q9BSJ8	ESYT1;FAM62A;KIAA0747;MBC2	Extended synaptotagmin-1	IPI00022143	Family with sequence similarity 62 (C2 domain containing), member A	exp049
O00571	DDX3X;DBX;DDX3	ATP-dependent RNA helicase DDX3X	IPI00215637	DEAD-box protein 3, X-chromosomal	exp049
Q9BTT6	LRRC1;LANO	Leucine-rich repeat-containing protein 1	IPI00427739	Splice Isoform 1 of Leucine-rich repeat-containing protein 1	exp049
O14548	COX7A2L;COX7AR;COX7RP	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	IPI00022421	Cytochrome c oxidase subunit VIIa-related protein, mitochondrial precursor	exp049
Q9BVK6	TMED9;GP25L2	Transmembrane emp24 domain-containing protein 9	IPI00023542	Transmembrane emp24 protein transport domain containing 9	exp049
O14880	MGST3	Microsomal glutathione S-transferase 3	IPI00024266	Microsomal glutathione S-transferase 3	exp049
Q9BVV7	TIMM21;C18orf55;TIM21;HSPC154	Mitochondrial import inner membrane translocase subunit Tim21	IPI00306439	Protein C18orf55	exp049
O15371	EIF3D;EIF3S7	Eukaryotic translation initiation factor 3 subunit D	IPI00006181	Eukaryotic translation initiation factor 3 subunit 7	exp049
Q9BZE1	MRPL37;MRPL2;RPML2;HSPC235	39S ribosomal protein L37, mitochondrial	IPI00162330	Mitochondrial ribosomal protein L37	exp049
O15394	NCAM2;NCAM21	Neural cell adhesion molecule 2	IPI00376427	Neural cell adhesion molecule 2 precursor	exp049
Q9H078	CLPB;HSP78;SKD3	Caseinolytic peptidase B protein homolog	IPI00216192	Splice Isoform 2 of Suppressor of potassium transport defect 3	exp049
O15439	ABCC4;MRP4	Multidrug resistance-associated protein 4	IPI00006675	Multidrug resistance-associated protein 4	exp049
Q9H0U4	RAB1B	Ras-related protein Rab-1B	IPI00008964	Ras-related protein Rab-1B	exp049
O43181	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	IPI00011217	NADH-ubiquinone oxidoreductase 18 kDa subunit, mitochondrial precursor	exp049
Q9H2U1	DHX36;DDX36;KIAA1488;MLEL1;RHAU	ATP-dependent RNA helicase DHX36	IPI00027415	MLEL1 protein	exp049
O43390	HNRNPR;HNRPR	Heterogeneous nuclear ribonucleoprotein R	IPI00012074	Heterogeneous nuclear ribonucleoprotein R	exp049
Q9H4G4	GLIPR2;C9orf19;GAPR1	Golgi-associated plant pathogenesis-related protein 1	IPI00007067	Golgi-associated plant pathogenesis-related protein 1	exp049
O43615	TIMM44;MIMT44;TIM44	Mitochondrial import inner membrane translocase subunit TIM44	IPI00306516	Import inner membrane translocase subunit TIM44, mitochondrial precursor	exp049
Q9H857	NT5DC2	5'-nucleotidase domain-containing protein 2	IPI00009662	Hypothetical protein FLJ13933	exp049
O43678	NDUFA2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	IPI00219381	NADH-ubiquinone oxidoreductase B8 subunit	exp049
Q9H9B4	SFXN1	Sideroflexin-1	IPI00009368	Sideroflexin-1	exp049
O43707	ACTN4	Alpha-actinin-4	IPI00013808	Alpha-actinin 4	exp049
Q9HAV0	GNB4	Guanine nucleotide-binding protein subunit beta-4	IPI00012451	Guanine nucleotide-binding protein beta subunit 4	exp049
O43920	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	IPI00220063	NADH-ubiquinone oxidoreductase 15 kDa subunit	exp049
Q9HBL7	PLGRKT;C9orf46;AD025;MDS030	Plasminogen receptor	IPI00307547	Protein C9orf46	exp049
O60220	TIMM8A;DDP;DDP1;TIM8A	Mitochondrial import inner membrane translocase subunit Tim8 A	IPI00028376	Mitochondrial import inner membrane translocase subunit TIM8 A	exp049
Q9NPL8	TIMMDC1;C3orf1;UNQ247/PRO284	Complex I assembly factor TIMMDC1, mitochondrial	IPI00299387	C3orf1 protein	exp049
O60313	OPA1;KIAA0567	Dynamin-like 120 kDa protein, mitochondrial	IPI00006721	Dynamin-like 120 kDa protein, mitochondrial precursor	exp049
Q9NS69	TOMM22;TOM22	Mitochondrial import receptor subunit TOM22 homolog	IPI00024976	Mitochondrial import receptor subunit TOM22 homolog	exp049
O60506	SYNCRIP;HNRPQ;NSAP1	Heterogeneous nuclear ribonucleoprotein Q	IPI00018140	Splice Isoform 1 of Heterogeneous nuclear ribonucleoprotein Q	exp049
Q9NSD9	FARSB;FARSLB;FRSB;HSPC173	Phenylalanine--tRNA ligase beta subunit	IPI00300074	Phenylalanyl-tRNA synthetase beta chain	exp049
O60716	CTNND1;KIAA0384	Catenin delta-1	IPI00182469	Splice Isoform 1AB of Catenin delta-1	exp049
Q9NUJ1	ABHD10	Mycophenolic acid acyl-glucuronide esterase, mitochondrial	IPI00020075	Hypothetical protein FLJ11342	exp049
O75306	NDUFS2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial	IPI00025239	NADH-ubiquinone oxidoreductase 49 kDa subunit, mitochondrial precursor	exp049
Q9NUP9	LIN7C;MALS3;VELI3	Protein lin-7 homolog C	IPI00019997	LIN-7 homolog C	exp049
O75390	CS	Citrate synthase, mitochondrial	IPI00025366	Citrate synthase, mitochondrial precursor	exp049
Q9NVH1	DNAJC11	DnaJ homolog subfamily C member 11	IPI00333016	DNAJC11 protein	exp049
O75396	SEC22B;SEC22L1	Vesicle-trafficking protein SEC22b	IPI00006865	Vesicle trafficking protein SEC22b	exp049
Q9NVT9	ARMC1;ARCP	Armadillo repeat-containing protein 1	IPI00018260	Hypothetical protein FLJ10511	exp049
O75489	NDUFS3	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	IPI00025796	NADH-ubiquinone oxidoreductase 30 kDa subunit, mitochondrial precursor	exp049
Q9NX40	OCIAD1;OCIA	OCIA domain-containing protein 1	IPI00016405	Hypothetical protein FLJ20455	exp049
O75955	FLOT1	Flotillin-1	IPI00027438	Flotillin-1	exp049
Q9NX63	CHCHD3;MINOS3	Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial	IPI00015833	Coiled-coil-helix-coiled-coil-helix domain containing protein 3	exp049
O94826	TOMM70A;KIAA0719;TOM70	Mitochondrial import receptor subunit TOM70	IPI00015602	Mitochondrial precursor proteins import receptor	exp049
Q9NZ45	CISD1;C10orf70;ZCD1;MDS029	CDGSH iron-sulfur domain-containing protein 1	IPI00020510	Protein C10orf70	exp049
O94905	ERLIN2;C8orf2;SPFH2;UNQ2441/PRO5003/PRO9924	Erlin-2	IPI00026942	Splice Isoform 1 of SPFH domain protein 2 precursor	exp049
Q9NZB2	FAM120A;C9orf10;KIAA0183;OSSA	Constitutive coactivator of PPAR-gamma-like protein 1	IPI00039626	Hypothetical protein	exp049
O94973	AP2A2;ADTAB;CLAPA2;HIP9;HYPJ;KIAA0899	AP-2 complex subunit alpha-2	IPI00016621	Adapter-related protein complex 2 alpha 2 subunit	exp049
Q9P0L0	VAPA;VAP33	Vesicle-associated membrane protein-associated protein A	IPI00170692	Vesicle-associated membrane protein-associated protein A	exp049
O95169	NDUFB8	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial	IPI00028883	NADH-ubiquinone oxidoreductase ASHI subunit, mitochondrial precursor	exp049
Q9P0U1	TOMM7;TOM7;TOMM07;AD-014	Mitochondrial import receptor subunit TOM7 homolog	IPI00000980	Probable mitochondrial import receptor subunit TOM7 homolog	exp049
O95182	NDUFA7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7	IPI00452731	NDUFA7 protein	exp049
Q9P2E9	RRBP1;KIAA1398	Ribosome-binding protein 1	IPI00215743	Splice Isoform 3 of Ribosome-binding protein 1	exp049
O95292	VAPB;UNQ484/PRO983	Vesicle-associated membrane protein-associated protein B/C	IPI00006211	VAMP (Vesicle-associated membrane protein)-associated protein B and C	exp049
Q9UBI6	GNG12	Guanine nucleotide-binding protein G subunit gamma-12	IPI00221232	G-protein gamma-12 subunit variant	exp049
O95299	NDUFA10	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	IPI00029561	NADH-ubiquinone oxidoreductase 42 kDa subunit, mitochondrial precursor	exp049
Q9UDW1	UQCR10;UCRC;HSPC119	Cytochrome b-c1 complex subunit 9	IPI00554701	Ubiquinol-cytochrome c reductase complex 7.2 kDa protein	exp049
O95782	AP2A1;ADTAA;CLAPA1	AP-2 complex subunit alpha-1	IPI00256684	Splice Isoform B of Adapter-related protein complex 2 alpha 1 subunit	exp049
Q9UGP8	SEC63;SEC63L	Translocation protein SEC63 homolog	IPI00218922	Translocation protein SEC63 homolog	exp049
O95831	AIFM1;AIF;PDCD8	Apoptosis-inducing factor 1, mitochondrial	IPI00000690	Splice Isoform 1 of Programmed cell death protein 8, mitochondrial precursor	exp049
Q9UHA4	LAMTOR3;MAP2K1IP1;MAPKSP1;PRO2783	Ragulator complex protein LAMTOR3	IPI00030919	Mitogen-activated protein kinase kinase 1 interacting protein 1	exp049
O96000	NDUFB10	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	IPI00479905	NADH-ubiquinone oxidoreductase PDSW subunit	exp049
Q9UJS0	SLC25A13;ARALAR2	Calcium-binding mitochondrial carrier protein Aralar2	IPI00007084	Mitochondrial aspartate-glutamate carrier protein	exp049
O96008	TOMM40;C19orf1;PEREC1;TOM40	Mitochondrial import receptor subunit TOM40 homolog	IPI00014053	Splice Isoform 1 of Probable mitochondrial import receptor subunit TOM40 homolog	exp049
Q9UJZ1	STOML2;SLP2;HSPC108	Stomatin-like protein 2, mitochondrial	IPI00334190	Stomatin-like protein 2	exp049
P00167	CYB5A;CYB5	Cytochrome b5	IPI00182933	Cytochrome b-5 isoform 2	exp049
Q9UN86	G3BP2;KIAA0660	Ras GTPase-activating protein-binding protein 2	IPI00009057	Splice Isoform A of Ras-GTPase-activating protein binding protein 2	exp049
P00367	GLUD1;GLUD	Glutamate dehydrogenase 1, mitochondrial	IPI00016801	Glutamate dehydrogenase 1, mitochondrial precursor	exp049
Q9UQ80	PA2G4;EBP1	Proliferation-associated protein 2G4	IPI00299000	Proliferation-associated 2G4, 38kDa	exp049
P00403	MT-CO2;COII;COXII;MTCO2	Cytochrome c oxidase subunit 2	IPI00017510	Cytochrome c oxidase subunit 2	exp049
Q9Y277	VDAC3	Voltage-dependent anion-selective channel protein 3	IPI00031804	Splice Isoform 1 of Voltage-dependent anion-selective channel protein 3	exp049
P00505	GOT2	Aspartate aminotransferase, mitochondrial	IPI00018206	Aspartate aminotransferase, mitochondrial precursor	exp049
Q9Y2S7	POLDIP2;PDIP38;POLD4;HSPC017	Polymerase delta-interacting protein 2	IPI00165506	Polymerase delta interacting protein 2	exp049
P02751	FN1;FN	Fibronectin	IPI00022418	Splice Isoform 1 of Fibronectin precursor	exp049
Q9Y4L1	HYOU1;GRP170;ORP150	Hypoxia up-regulated protein 1	IPI00000877	150 kDa oxygen-regulated protein precursor	exp049
P02786	TFRC	Transferrin receptor protein 1	IPI00022462	Transferrin receptor protein 1	exp049
Q9Y4P3	TBL2;WBSCR13;UNQ563/PRO1125	Transducin beta-like protein 2	IPI00000948	Transducin beta-like 2 protein	exp049
P04406	GAPDH;GAPD;CDABP0047;OK/SW-cl.12	Glyceraldehyde-3-phosphate dehydrogenase	IPI00219018	Glyceraldehyde-3-phosphate dehydrogenase, liver	exp049
Q9Y4W6	AFG3L2	AFG3-like protein 2	IPI00001091	AFG3-like protein 2	exp049
P05023	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1	IPI00006482	Splice Isoform Long of Sodium/potassium-transporting ATPase alpha-1 chain precursor	exp049
Q9Y512	SAMM50;SAM50;CGI-51;TRG3	Sorting and assembly machinery component 50 homolog	IPI00412713	SAM50-like protein CGI-51	exp049
P05141	SLC25A5;ANT2	ADP/ATP translocase 2	IPI00007188	ADP/ATP translocase 2	exp049
Q9Y5J7	TIMM9;TIM9;TIM9A;TIMM9A	Mitochondrial import inner membrane translocase subunit Tim9	IPI00001541	Mitochondrial import inner membrane translocase subunit TIM9 A	exp049
P05198	EIF2S1;EIF2A	Eukaryotic translation initiation factor 2 subunit 1	IPI00219678	Eukaryotic translation initiation factor 2 subunit 1	exp049
Q9Y6C9	MTCH2;MIMP;HSPC032	Mitochondrial carrier homolog 2	IPI00003833	Mitochondrial carrier homolog 2	exp049
P05387	RPLP2;D11S2243E;RPP2	60S acidic ribosomal protein P2	IPI00008529	60S acidic ribosomal protein P2	exp049
Q9Y6M9	NDUFB9;LYRM3;UQOR22	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9	IPI00255052	NADH-ubiquinone oxidoreductase B22 subunit	exp049
P05388	RPLP0	60S acidic ribosomal protein P0	IPI00008530	60S acidic ribosomal protein P0	exp049
Q9Y6N1	COX11	Cytochrome c oxidase assembly protein COX11, mitochondrial	IPI00295394	Cytochrome c oxidase assembly protein COX11, mitochondrial precursor	exp049
P07237	P4HB;ERBA2L;PDI;PDIA1;PO4DB	Protein disulfide-isomerase	IPI00010796	Protein disulfide-isomerase precursor	exp049
P07339	CTSD;CPSD	Cathepsin D	IPI00011229	Cathepsin D precursor	exp049
P07900	HSP90AA1;HSP90A;HSPC1;HSPCA	Heat shock protein HSP 90-alpha	IPI00382470	Heat shock protein HSP 90-alpha 2	exp049
P07947	YES1;YES	Tyrosine-protein kinase Yes	IPI00013981	Proto-oncogene tyrosine-protein kinase YES	exp049
P07954	FH	Fumarate hydratase, mitochondrial	IPI00296053	Fumarate hydratase, mitochondrial precursor	exp049
P08107	HSPA1A;HSPA1;HSX70;HSPA1B	Heat shock 70 kDa protein 1A/1B	IPI00304925	Heat shock 70 kDa protein 1	exp049
P08473	MME;EPN	Neprilysin	IPI00247063	Neprilysin	exp049
Q86X29	LSR;LISCH	Lipolysis-stimulated lipoprotein receptor	LSR_HUMAN (Q86X29)	Lipolysis-stimulated lipoprotein receptor	exp050
O75052	NOS1AP;CAPON;KIAA0464	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein	CAPON_HUMAN (O75052)	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein	exp050
P48668	KRT6C;KRT6E	Keratin, type II cytoskeletal 6C	K2C6E_HUMAN (P48668)	Keratin, type II cytoskeletal 6E	exp050
Q7Z406	MYH14;KIAA2034;FP17425	Myosin-14	MYH14_HUMAN (Q7Z406)	Myosin-14 (Myosin heavy chain, non-muscle IIc)	exp050
Q8TCT9	HM13;H13;IMP1;PSL3;SPP;MSTP086	Minor histocompatibility antigen H13	HM13_HUMAN (Q8TCT9)	Minor histocompatibility antigenÔö¼├íH13	exp050
P16144	ITGB4	Integrin beta-4	ITB4_HUMAN (P16144)	Integrin beta-4 precursor (GP150) (CD104Ôö¼├íantigen)	exp050
Q9HDC9	APMAP;C20orf3;UNQ1869/PRO4305	Adipocyte plasma membrane-associated protein	APMAP_HUMAN (Q9HDC9)	Adipocyte plasma membrane-associated protein	exp050
P05023	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1	AT1A1_HUMAN (P05023)	Sodium/potassium-transporting ATPase alpha-1 chain precursor	exp050
P12956	XRCC6;G22P1	X-ray repair cross-complementing protein 6	KU70_HUMAN (P12956)	ATP-dependent DNA helicase 2 subunit 1	exp050
P31930	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial	UQCR1_HUMAN (P31930)	Ubiquinol-cytochrome-c reductase complex core protein I, mitochondrial precursor	exp050
Q86SG5	S100A7A;S100A15;S100A7L1	Protein S100-A7A	SA7L1_HUMAN (Q86SG5)	Protein S100-A7-like 1	exp050
Q03405	PLAUR;MO3;UPAR	Urokinase plasminogen activator surface receptor	UPAR_HUMAN (Q03405)	Urokinase plasminogen activator surface receptor precursor	exp050
P67809	YBX1;NSEP1;YB1	Nuclease-sensitive element-binding protein 1	YBOX1_HUMAN (P67809)	Nuclease sensitive element-binding protein 1 (YB1)	exp050
P27448	MARK3;CTAK1;EMK2	MAP/microtubule affinity-regulating kinase 3	MARK3_HUMAN (P27448)	MAP/microtubule affinity-regulating kinase 3	exp050
Q7KZI7	MARK2;EMK1	Serine/threonine-protein kinase MARK2	MARK2_HUMAN (Q7KZI7)	Serine/threonine-protein kinase MARK2	exp050
O14548	COX7A2L;COX7AR;COX7RP	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	RPL6 (O14548)	60S ribosomal protein L6	exp051
Q6WKZ4	RAB11FIP1;RCP	Rab11 family-interacting protein 1	RAB11FIP1 (Q6WKZ4)	Rab11 family-interacting protein 1	exp051
P41252	IARS	Isoleucine--tRNA ligase, cytoplasmic	IARS (P41252)	Isoleucyl-tRNA synthetase, cytoplasmic	exp051
Q96S97	MYADM;UNQ553/PRO1110	Myeloid-associated differentiation marker	MYADM (Q96S97)	Myeloid-associated differentiation marker	exp051
P05783	KRT18;CYK18;PIG46	Keratin, type I cytoskeletal 18	KRT18 (P05783)	Keratin, type I cytoskeletal 18	exp051
P35579	MYH9	Myosin-9	MYH9 (P35579)	Myosin-9	exp051
P17931	LGALS3;MAC2	Galectin-3	LGALS3 (P17931)	Galectin-3	exp051
P05787	KRT8;CYK8	Keratin, type II cytoskeletal 8	KRT8 (P05787)	Keratin, type II cytoskeletal 8	exp051
O00159	MYO1C	Unconventional myosin-Ic	MYO1C (O00159)	Myosin-Ic	exp051
Q8NFJ5	GPRC5A;GPCR5A;RAI3;RAIG1	Retinoic acid-induced protein 3	GPRC5A (Q8NFJ5)	Retinoic acid-induced protein 3	exp051
O14548	COX7A2L;COX7AR;COX7RP	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	COX7A2L (O14548)	Cytochrome c oxidase subunit VIIa-related protein, mitochondrial precursor	exp051
P00387	CYB5R3;DIA1	NADH-cytochrome b5 reductase 3	CYB5R3 (P00387)	NADH-cytochrome b5 reductase 3	exp051
O75955	FLOT1	Flotillin-1	FLOT1 (O75955)	Flotillin-1	exp051
P04264	KRT1;KRTA	Keratin, type II cytoskeletal 1	KRT1 (P04264)	Keratin, type II cytoskeletal 1	exp051
P35527	KRT9	Keratin, type I cytoskeletal 9	KRT9 (P35527)	Keratin, type I cytoskeletal 9	exp051
P04843	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	RPN1 (P04843)	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase subunit 1	exp051
P07355	ANXA2;ANX2;ANX2L4;CAL1H;LPC2D	Annexin A2	ANXA2 (P07355)	Annexin A2	exp051
P15311	EZR;VIL2	Ezrin	EZR (P15311)	Ezrin	exp051
Q86UP2	KTN1;CG1;KIAA0004	Kinectin	KTN1 (Q86UP2)	Kinectin (kinesin receptor)	exp051
P31431	SDC4	Syndecan-4	SDC4 (P31431)	Syndecan-4	exp051
Q7KZI7	MARK2;EMK1	Serine/threonine-protein kinase MARK2	MARK2 (Q7KZI7)	Serine/threonine-protein kinase MARK2	exp051
O14548	COX7A2L;COX7AR;COX7RP	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	RPL6 (O14548)	60S ribosomal protein L6	exp052
P35527	KRT9	Keratin, type I cytoskeletal 9	KRT9 (P35527)	Keratin, type I cytoskeletal 9	exp052
P35579	MYH9	Myosin-9	MYH9 (P35579)	Myosin-9	exp052
P04264	KRT1;KRTA	Keratin, type II cytoskeletal 1	KRT1 (P04264)	Keratin, type II cytoskeletal 1	exp052
P17931	LGALS3;MAC2	Galectin-3	LGALS3 (P17931)	Galectin-3	exp052
P00387	CYB5R3;DIA1	NADH-cytochrome b5 reductase 3	CYB5R3 (P00387)	NADH-cytochrome b5 reductase 3	exp052
P05783	KRT18;CYK18;PIG46	Keratin, type I cytoskeletal 18	KRT18 (P05783)	Keratin, type I cytoskeletal 18	exp052
P15311	EZR;VIL2	Ezrin	EZR (P15311)	Ezrin	exp052
O00159	MYO1C	Unconventional myosin-Ic	MYO1C (O00159)	Myosin-Ic	exp052
O14548	COX7A2L;COX7AR;COX7RP	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	COX7A2L (O14548)	Cytochrome c oxidase subunit VIIa-related protein, mitochondrial precursor	exp052
Q6WKZ4	RAB11FIP1;RCP	Rab11 family-interacting protein 1	RAB11FIP1 (Q6WKZ4)	Rab11 family-interacting protein 1	exp052
P04843	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	RPN1 (P04843)	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase subunit 1	exp052
O75955	FLOT1	Flotillin-1	FLOT1 (O75955)	Flotillin-1	exp052
P07355	ANXA2;ANX2;ANX2L4;CAL1H;LPC2D	Annexin A2	ANXA2 (P07355)	Annexin A2	exp052
Q86UP2	KTN1;CG1;KIAA0004	Kinectin	KTN1 (Q86UP2)	Kinectin (kinesin receptor)	exp052
P31431	SDC4	Syndecan-4	SDC4 (P31431)	Syndecan-4	exp052
O14548	COX7A2L;COX7AR;COX7RP	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	RPL6 (O14548)	60S ribosomal protein L6	exp053
Q96S97	MYADM;UNQ553/PRO1110	Myeloid-associated differentiation marker	MYADM (Q96S97)	Myeloid-associated differentiation marker	exp053
P35579	MYH9	Myosin-9	MYH9 (P35579)	Myosin-9	exp053
P05783	KRT18;CYK18;PIG46	Keratin, type I cytoskeletal 18	KRT18 (P05783)	Keratin, type I cytoskeletal 18	exp053
P17931	LGALS3;MAC2	Galectin-3	LGALS3 (P17931)	Galectin-3	exp053
P41252	IARS	Isoleucine--tRNA ligase, cytoplasmic	IARS (P41252)	Isoleucyl-tRNA synthetase, cytoplasmic	exp053
O00159	MYO1C	Unconventional myosin-Ic	MYO1C (O00159)	Myosin-Ic	exp053
Q8NFJ5	GPRC5A;GPCR5A;RAI3;RAIG1	Retinoic acid-induced protein 3	GPRC5A (Q8NFJ5)	Retinoic acid-induced protein 3	exp053
P05787	KRT8;CYK8	Keratin, type II cytoskeletal 8	KRT8 (P05787)	Keratin, type II cytoskeletal 8	exp053
P04264	KRT1;KRTA	Keratin, type II cytoskeletal 1	KRT1 (P04264)	Keratin, type II cytoskeletal 1	exp053
O14548	COX7A2L;COX7AR;COX7RP	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	COX7A2L (O14548)	Cytochrome c oxidase subunit VIIa-related protein, mitochondrial precursor	exp053
O75955	FLOT1	Flotillin-1	FLOT1 (O75955)	Flotillin-1	exp053
P04843	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	RPN1 (P04843)	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase subunit 1	exp053
Q86UP2	KTN1;CG1;KIAA0004	Kinectin	KTN1 (Q86UP2)	Kinectin (kinesin receptor)	exp053
P31431	SDC4	Syndecan-4	SDC4 (P31431)	Syndecan-4	exp053
Q7KZI7	MARK2;EMK1	Serine/threonine-protein kinase MARK2	MARK2 (Q7KZI7)	Serine/threonine-protein kinase MARK2	exp053
Q16777	HIST2H2AC;H2AFQ	Histone H2A type 2-C	H2A2C_HUMAN	Histone H2A type 2-C	exp054
Q7L7L0	HIST3H2A	Histone H2A type 3	H2A3_HUMAN	Histone H2A type 3	exp054
Q9BTM1	H2AFJ	Histone H2A.J	H2AJ_HUMAN	Histone H2A.J	exp054
P33778	HIST1H2BB;H2BFF	Histone H2B type 1-B	H2B1B_HUMAN	Histone H2B type 1-B	exp054
P62807	HIST1H2BC;H2BFL;HIST1H2BE;H2BFH;HIST1H2BF;H2BFG;HIST1H2BG;H2BFA;HIST1H2BI;H2BFK	Histone H2B type 1-C/E/F/G/I	H2B1C_HUMAN	Histone H2B type 1-C/E/F/G/I	exp054
P58876	HIST1H2BD;H2BFB;HIRIP2	Histone H2B type 1-D	H2B1D_HUMAN	Histone H2B type 1-D	exp054
Q93079	HIST1H2BH;H2BFJ	Histone H2B type 1-H	H2B1H_HUMAN	Histone H2B type 1-H	exp054
P06899	HIST1H2BJ;H2BFR	Histone H2B type 1-J	H2B1J_HUMAN	Histone H2B type 1-J	exp054
O60814	HIST1H2BK;H2BFT;HIRIP1	Histone H2B type 1-K	H2B1K_HUMAN	Histone H2B type 1-K	exp054
Q99880	HIST1H2BL;H2BFC	Histone H2B type 1-L	H2B1L_HUMAN	Histone H2B type 1-L	exp054
Q99879	HIST1H2BM;H2BFE	Histone H2B type 1-M	H2B1M_HUMAN	Histone H2B type 1-M	exp054
Q99877	HIST1H2BN;H2BFD	Histone H2B type 1-N	H2B1N_HUMAN	Histone H2B type 1-N	exp054
P23527	HIST1H2BO;H2BFH;H2BFN	Histone H2B type 1-O	H2B1O_HUMAN	Histone H2B type 1-O	exp054
